Age,Annual_Income,CIBIL_Score,Home_Ownership,Employment_Length,Loan_Intent,Loan_Amount,Loan_Status,Outstanding_Debts,Average_Monthly_Expenditure,Frequency_of_Card_Usage,Bill_Payment_Timeliness,Late_Payment_Penalties,Number_of_Missed_Payments,ATM_Withdrawal_Frequency,Preferred_Payment_Method,Insurance_Coverage,Financial_Literacy_Level,Number_of_Credit_Cards_Owned,Number_of_Bank_Accounts,Risk_Appetite,Savings_Habits,Venmo Visa Credit Card,Synchrony Premier World Mastercard,CareCredit Credit Card,PayPal Cashback World Mastercard,Ashley Advantage Credit Card,Synchrony HOME Credit Card,Synchrony Car Care Credit Card,Verizon Visa Card
41,507402,455,Own,17,Car,476470,Paid,151752,61508,44,On Time,0,8,12,UPI,0,Low,2,2,Medium,Poor,0,0,0,0,0,1,1,0
53,1020959,493,Rent,18,Personal,558051,Paid,307091,149380,29,Late,0,7,4,Cash,1,High,4,9,High,Poor,0,0,0,0,0,0,0,0
57,1534618,460,Own,15,Education,124971,Defaulted,418321,77364,28,On Time,1,3,16,Cash,1,Low,4,8,Medium,Average,0,0,0,0,0,1,0,0
41,1492253,425,Own,2,Personal,725739,Paid,17330,15905,13,On Time,0,9,14,Cash,0,Low,4,8,High,Good,0,0,0,0,0,0,0,0
20,1950371,846,Own,12,Credit Card,784589,Defaulted,251833,49121,40,On Time,0,1,12,Debit Card,0,High,2,7,Low,Average,1,1,0,0,0,0,0,0
39,1776658,538,Own,29,Home,267393,Defaulted,457757,118901,22,On Time,1,0,3,Debit Card,1,Low,3,3,Medium,Good,0,0,0,0,1,1,0,0
19,2759494,340,Own,13,Education,596200,Defaulted,382106,65549,27,On Time,0,7,19,Credit Card,1,High,4,3,Low,Average,0,0,0,1,0,1,0,1
41,2180778,485,Own,5,Personal,504233,Defaulted,155830,106186,25,Late,0,3,5,UPI,1,Medium,4,4,Low,Average,0,0,0,0,0,1,0,0
61,2440556,760,Own,31,Education,799395,Defaulted,202540,111380,21,On Time,1,1,18,UPI,1,Low,4,9,Low,Poor,0,1,0,0,0,1,0,0
47,436346,688,Own,31,Home,733926,Defaulted,311130,135895,45,On Time,0,4,18,UPI,1,Low,2,1,Low,Poor,0,0,0,0,1,1,0,0
55,2617428,560,Rent,11,Personal,190109,Defaulted,460530,12523,22,Late,0,7,12,Credit Card,1,Medium,3,4,High,Average,0,0,0,1,0,0,0,1
19,688859,705,Own,24,Education,478320,Defaulted,298573,129012,45,Late,0,8,12,Cash,0,Low,1,7,High,Average,1,0,0,0,0,1,0,0
38,1214530,845,Rent,24,Credit Card,243458,Paid,162968,75478,18,Late,1,5,0,Debit Card,1,Medium,2,2,Low,Good,0,0,0,0,0,0,0,0
50,1369549,748,Rent,7,Personal,984055,Paid,190358,60199,24,Late,0,7,0,Debit Card,1,Medium,4,1,Low,Poor,0,0,0,0,0,0,0,0
29,825921,700,Own,34,Credit Card,985683,Paid,306932,111003,15,Late,0,9,7,Debit Card,0,High,4,2,Low,Good,0,0,0,0,0,1,0,0
39,1604817,606,Rent,5,Education,360904,Defaulted,471266,22345,46,On Time,0,4,14,Credit Card,1,Medium,3,5,High,Average,0,0,0,1,0,0,0,1
61,935268,436,Own,3,Personal,997128,Paid,463468,10204,22,Late,0,9,3,Cash,0,Low,3,1,High,Poor,0,0,0,0,0,0,0,0
42,515308,501,Rent,34,Personal,369852,Defaulted,320186,22182,49,On Time,1,6,3,UPI,1,Medium,1,7,High,Good,0,0,0,0,0,0,0,0
66,2447575,456,Rent,25,Personal,606110,Paid,396229,7305,1,On Time,1,9,1,UPI,1,Low,2,4,High,Good,0,0,0,0,0,0,0,0
44,426935,554,Own,30,Credit Card,552957,Paid,398184,48394,27,On Time,1,1,1,UPI,1,High,1,7,Medium,Good,0,0,1,0,0,0,0,0
59,2879853,480,Own,20,Home,753082,Defaulted,170793,16142,13,Late,0,5,4,Credit Card,0,Low,3,3,Medium,Good,0,0,0,0,1,0,0,1
45,1004491,708,Rent,23,Credit Card,481826,Paid,255038,128603,6,Late,0,4,3,UPI,1,High,4,2,High,Average,0,0,0,0,0,0,0,0
33,2062196,327,Rent,9,Home,608038,Paid,14194,73984,17,On Time,0,9,6,Credit Card,1,High,3,5,Low,Average,0,0,0,1,0,0,0,1
32,2547308,814,Rent,6,Credit Card,828159,Defaulted,410505,90900,10,Late,1,5,9,UPI,0,Low,3,1,Low,Average,0,0,0,0,0,0,0,0
64,2133599,844,Rent,25,Personal,713813,Paid,209216,24088,16,Late,1,7,1,Cash,1,High,1,7,High,Good,0,0,0,0,0,0,0,0
68,970833,498,Rent,27,Car,643892,Paid,370067,143527,19,On Time,0,9,15,Credit Card,1,Medium,2,8,High,Poor,0,0,0,1,0,0,1,1
61,2496076,368,Own,1,Credit Card,717957,Defaulted,498562,106363,12,On Time,0,2,0,Credit Card,1,High,3,7,High,Poor,0,0,0,0,0,1,0,1
69,2903235,316,Rent,13,Personal,320222,Defaulted,186840,115124,5,On Time,0,4,14,Credit Card,0,Medium,2,6,Medium,Good,0,0,0,0,0,0,0,0
20,2267222,845,Own,6,Home,386208,Defaulted,247078,66635,22,On Time,1,6,18,Credit Card,1,High,4,4,Low,Average,0,1,0,1,1,1,0,1
54,977277,359,Own,16,Credit Card,937438,Defaulted,26286,19022,13,Late,1,4,0,Debit Card,1,Medium,1,3,Low,Good,0,0,0,0,0,0,0,0
68,1260405,483,Own,14,Home,775786,Paid,68755,65581,11,Late,0,8,12,Cash,1,High,3,2,Medium,Good,0,0,0,0,1,1,0,0
24,2632969,664,Own,21,Credit Card,432791,Defaulted,380899,105492,36,Late,0,4,7,Cash,0,Low,4,5,Medium,Average,1,0,0,0,0,1,0,0
38,2583798,733,Own,31,Personal,212157,Defaulted,387504,80481,11,Late,0,8,13,Debit Card,1,Low,1,6,High,Average,0,0,0,0,0,1,0,0
26,2717572,498,Rent,25,Personal,724014,Defaulted,317677,139426,27,Late,0,2,2,UPI,1,High,4,5,Low,Poor,0,0,0,0,0,0,0,0
56,1511985,531,Rent,22,Home,596943,Paid,463391,135702,9,On Time,1,0,13,Debit Card,1,High,2,4,Medium,Good,0,0,0,0,0,0,0,0
35,2778189,667,Rent,25,Home,363766,Paid,389368,69967,13,On Time,0,0,7,Cash,1,Medium,2,5,Medium,Poor,0,0,0,0,0,0,0,0
21,1141819,729,Rent,23,Credit Card,356682,Defaulted,84174,105591,37,Late,1,5,0,Cash,0,High,2,8,Low,Good,1,0,0,0,0,0,0,0
42,509601,863,Own,21,Education,470023,Paid,362086,113803,25,Late,0,2,7,Credit Card,0,Medium,2,6,Low,Average,0,0,0,1,0,1,0,1
31,2095367,418,Own,26,Credit Card,622176,Defaulted,204736,17405,2,Late,1,5,1,Debit Card,1,Medium,4,4,High,Average,0,0,0,0,0,0,0,0
67,2403486,629,Own,20,Education,967871,Paid,134896,79878,11,On Time,1,7,17,UPI,0,Low,2,6,High,Average,0,0,0,0,0,1,0,0
26,322950,514,Rent,7,Car,783718,Defaulted,208422,56529,46,Late,1,3,0,Cash,1,Medium,3,2,Medium,Poor,1,0,1,0,0,0,0,0
43,2801794,621,Rent,13,Personal,638036,Paid,411611,10818,13,Late,1,7,19,Cash,1,Low,3,9,Low,Poor,0,0,0,0,0,0,0,0
19,452988,448,Own,1,Home,225459,Paid,423452,69948,49,Late,0,7,4,Debit Card,1,Medium,1,6,Medium,Poor,1,0,1,0,1,1,0,0
37,1050534,707,Own,6,Home,953980,Defaulted,486815,47635,28,On Time,1,8,0,Credit Card,0,Low,3,8,Low,Average,0,0,0,1,1,0,0,1
45,1612547,676,Rent,26,Home,558857,Defaulted,264700,21766,10,On Time,0,8,11,Credit Card,0,Medium,3,7,Medium,Good,0,0,0,0,0,0,0,0
64,1603408,619,Own,7,Car,726790,Defaulted,89799,16644,36,On Time,0,9,13,Cash,1,High,2,9,High,Average,0,0,0,0,0,0,1,0
24,2499184,304,Own,3,Car,148422,Defaulted,276461,37641,35,On Time,0,6,16,UPI,0,High,3,1,High,Poor,1,0,0,0,0,0,1,0
61,1764862,701,Rent,9,Education,650753,Paid,347809,23069,5,On Time,0,0,17,Credit Card,0,Medium,1,4,Low,Average,0,0,0,0,0,0,0,0
25,668691,502,Own,9,Home,391083,Paid,42408,20306,43,On Time,0,4,17,Debit Card,0,Low,4,9,Medium,Good,1,0,0,0,1,0,0,0
64,2094477,336,Own,15,Education,256736,Defaulted,289474,117064,31,Late,1,4,13,Debit Card,0,Low,2,8,Medium,Average,0,0,0,0,0,1,0,0
52,1676188,353,Own,2,Car,884917,Paid,34022,31811,40,On Time,0,2,10,Debit Card,0,Medium,1,6,Medium,Average,0,0,0,0,0,0,1,0
31,2572472,587,Own,22,Car,545586,Paid,490032,65285,7,On Time,0,7,4,UPI,0,High,1,3,Medium,Poor,0,0,0,0,0,1,0,0
34,2886476,583,Own,1,Personal,869356,Defaulted,30872,25797,24,On Time,1,0,15,UPI,1,Low,4,1,High,Poor,0,0,0,0,0,0,0,0
53,882932,897,Own,0,Home,891307,Defaulted,53449,81853,27,On Time,1,2,5,Cash,1,Medium,2,2,Low,Average,0,0,0,0,1,1,0,0
67,486736,344,Own,10,Personal,376688,Defaulted,52367,85758,29,On Time,1,5,11,UPI,0,Medium,1,8,Medium,Average,0,0,1,0,0,1,0,0
57,1880957,583,Rent,19,Car,377960,Paid,475451,142158,22,On Time,0,3,14,Cash,1,Medium,2,5,High,Good,0,0,0,0,0,0,1,0
21,1509105,881,Rent,20,Education,70879,Paid,155148,33025,11,Late,1,4,8,UPI,0,High,2,2,High,Good,0,0,0,0,0,0,0,0
19,1405290,341,Rent,29,Credit Card,997010,Defaulted,265545,104620,18,On Time,1,2,15,UPI,1,Medium,2,6,Medium,Average,0,0,0,0,0,0,0,0
23,2898619,716,Rent,24,Car,994956,Paid,248699,71619,29,On Time,1,9,13,Credit Card,0,High,2,1,Low,Poor,0,0,0,1,0,0,1,1
59,2577939,571,Rent,16,Personal,843117,Paid,246899,93710,5,Late,1,8,4,Credit Card,1,High,3,9,Medium,Average,0,0,0,0,0,0,0,0
21,1480202,440,Rent,22,Home,151759,Paid,116960,127735,40,On Time,1,5,4,UPI,1,High,4,2,Low,Average,1,0,0,0,0,0,0,0
46,1615145,870,Own,18,Personal,693372,Paid,187839,97985,44,Late,0,7,18,Cash,0,Medium,2,8,Medium,Poor,0,1,0,0,0,1,0,0
35,2357269,346,Rent,20,Personal,684267,Defaulted,479142,135377,32,On Time,1,0,6,UPI,0,Medium,3,7,High,Average,0,0,0,0,0,0,0,0
43,1408428,466,Own,6,Car,441349,Defaulted,410437,24228,25,On Time,0,1,12,Cash,1,Medium,4,8,Low,Good,0,0,0,0,0,0,1,0
61,937563,425,Rent,5,Credit Card,387984,Paid,254660,16927,30,Late,0,5,8,Cash,1,High,4,9,Medium,Poor,0,0,0,0,0,0,0,0
51,2357484,771,Own,1,Personal,815165,Defaulted,381888,76748,6,On Time,1,3,19,Debit Card,0,High,4,6,Low,Poor,0,0,0,0,0,1,0,0
27,754920,669,Own,2,Home,773086,Paid,372198,97758,21,On Time,0,3,5,Cash,1,High,2,2,Low,Good,0,0,0,0,1,1,0,0
53,1942429,887,Rent,10,Education,956456,Defaulted,449461,57921,43,On Time,1,1,5,UPI,1,Medium,1,7,Medium,Good,0,1,0,0,0,0,0,0
31,1409056,306,Rent,21,Education,571154,Paid,123645,137451,19,On Time,1,3,10,Cash,0,High,3,1,Medium,Good,0,0,0,0,0,0,0,0
48,811445,575,Own,8,Education,537123,Paid,78171,77745,6,Late,1,1,0,Credit Card,1,Low,1,8,Low,Poor,0,0,0,0,0,1,0,0
65,1929875,890,Own,19,Personal,94236,Defaulted,349244,115491,23,On Time,0,8,13,Credit Card,1,Medium,2,9,Low,Poor,0,1,0,1,0,1,0,1
32,902240,364,Rent,1,Car,153938,Paid,100355,76247,48,On Time,1,2,13,Credit Card,0,High,4,3,Medium,Poor,1,0,0,1,0,0,1,1
25,498987,501,Rent,15,Personal,797710,Defaulted,16609,79244,31,Late,0,5,8,Cash,1,Low,4,6,High,Poor,1,0,1,0,0,0,0,0
31,671530,441,Own,25,Education,324941,Paid,268217,88553,43,On Time,0,6,17,UPI,1,Medium,2,1,Low,Average,1,0,0,0,0,1,0,0
40,2336082,397,Rent,22,Education,936837,Paid,309220,98171,25,Late,1,7,8,Debit Card,1,Medium,1,3,Low,Average,0,0,0,0,0,0,0,0
57,1671662,516,Rent,13,Car,922990,Defaulted,83329,83067,14,On Time,1,9,13,Debit Card,0,High,1,4,Low,Poor,0,0,0,0,0,0,1,0
38,2665236,885,Own,20,Personal,694528,Defaulted,178011,27292,41,On Time,0,4,10,UPI,0,Medium,4,7,Low,Good,0,1,0,0,0,0,0,0
33,2515881,592,Own,22,Personal,360024,Paid,478594,26614,2,Late,0,6,16,Debit Card,0,High,4,5,High,Poor,0,0,0,0,0,0,0,0
62,2093111,807,Rent,11,Personal,189418,Defaulted,199769,38514,14,On Time,0,5,19,UPI,0,Medium,1,4,High,Good,0,0,0,0,0,0,0,0
35,2933197,433,Rent,3,Credit Card,920319,Paid,122547,117987,45,Late,0,7,18,Debit Card,0,High,4,8,High,Average,0,0,0,0,0,0,0,0
64,1278734,561,Rent,16,Home,68718,Paid,232391,45658,16,Late,1,6,10,Credit Card,1,High,2,7,Medium,Average,0,0,0,1,0,0,0,1
41,1861856,583,Rent,30,Car,928399,Paid,428118,140611,37,On Time,0,7,15,Debit Card,0,Low,3,2,High,Average,0,0,0,0,0,0,1,0
43,1558121,401,Rent,27,Car,418497,Paid,149815,65313,33,On Time,1,8,16,Cash,0,Low,2,7,High,Poor,0,0,0,0,0,0,1,0
42,1757973,676,Rent,13,Home,624307,Paid,152658,75030,46,On Time,0,4,4,Cash,1,Medium,3,7,Medium,Average,0,0,0,0,0,0,0,0
62,2179072,505,Own,30,Personal,603152,Defaulted,17127,81341,45,Late,1,6,1,UPI,1,Medium,2,2,High,Poor,0,0,0,0,0,1,0,0
58,2800798,312,Rent,32,Car,647469,Paid,76157,36611,37,Late,1,0,4,Cash,0,High,4,3,High,Average,0,0,0,0,0,0,0,0
46,1142894,422,Own,8,Credit Card,441922,Defaulted,380738,34157,15,On Time,0,0,16,UPI,1,Medium,1,8,Medium,Good,0,0,0,0,0,0,0,0
32,1134260,309,Rent,21,Personal,297981,Defaulted,389722,91962,27,Late,1,5,7,Cash,0,Low,3,2,High,Poor,0,0,0,0,0,0,0,0
62,1997046,891,Own,29,Education,579577,Defaulted,339240,122895,30,On Time,1,7,13,Cash,1,Medium,3,2,Medium,Poor,0,1,0,0,0,1,0,0
18,377589,466,Own,8,Car,665493,Paid,354124,107284,12,Late,1,7,11,UPI,0,Low,4,4,Low,Poor,0,0,1,0,0,1,1,0
42,1071243,450,Rent,8,Credit Card,118283,Paid,9142,142527,36,On Time,0,3,13,Debit Card,0,Low,4,3,Low,Average,0,0,0,0,0,0,0,0
24,206586,336,Rent,11,Credit Card,365296,Defaulted,216615,5625,27,On Time,0,6,1,Credit Card,1,Low,4,6,Medium,Poor,0,0,1,1,0,0,0,1
26,2054711,773,Rent,27,Credit Card,796010,Paid,65827,119905,29,Late,1,4,2,UPI,0,High,2,7,Low,Average,0,1,0,0,0,0,0,0
41,2858175,743,Own,15,Education,360779,Defaulted,402995,103448,18,Late,0,2,4,UPI,1,High,2,3,High,Poor,0,0,0,0,0,1,0,0
18,2494582,641,Rent,5,Home,146324,Paid,493532,132423,39,On Time,0,1,9,Credit Card,1,Medium,2,6,Medium,Poor,1,0,0,1,0,0,0,1
61,1347101,304,Own,8,Education,804115,Paid,114273,35730,7,On Time,0,9,4,Debit Card,0,High,2,1,Low,Good,0,0,0,0,0,0,0,0
25,2178209,525,Own,33,Credit Card,750877,Paid,425342,35525,46,Late,0,4,1,Debit Card,1,Medium,1,3,Low,Poor,1,0,0,0,0,0,0,0
41,412151,838,Own,30,Personal,576641,Paid,401216,53170,48,Late,0,3,15,UPI,1,Medium,4,4,Medium,Average,0,0,0,0,0,1,0,0
28,2781867,423,Own,6,Credit Card,130163,Paid,408179,108868,11,On Time,0,4,7,Cash,1,Medium,4,2,Medium,Good,0,0,0,0,0,1,0,0
68,1547376,702,Rent,31,Education,721169,Paid,132600,94708,24,Late,0,7,13,Debit Card,0,High,3,3,High,Poor,0,0,0,0,0,0,0,0
34,1917435,334,Own,23,Education,796985,Defaulted,51063,39461,49,On Time,1,1,4,Credit Card,1,High,3,7,High,Average,1,0,0,1,0,0,0,1
25,2110896,536,Own,29,Education,594434,Defaulted,149390,120130,2,On Time,1,6,2,Credit Card,0,Medium,3,6,Low,Average,0,0,0,0,0,1,0,0
52,2316806,767,Rent,25,Education,722238,Defaulted,264145,126147,35,Late,0,7,18,UPI,1,Low,2,6,High,Average,0,1,0,0,0,0,0,0
52,854405,798,Own,32,Credit Card,285120,Paid,459689,10136,13,On Time,0,0,6,Cash,0,High,2,2,Medium,Average,0,0,0,0,0,0,0,0
50,1335189,811,Rent,25,Education,145762,Paid,219273,114626,10,On Time,1,3,6,Debit Card,0,Low,1,7,Medium,Average,0,0,0,0,0,0,0,0
22,1764046,616,Own,18,Education,804528,Defaulted,334767,55045,2,Late,0,0,11,Cash,0,High,4,7,Medium,Good,0,0,0,0,0,1,0,0
59,1711321,602,Own,0,Credit Card,225175,Paid,122617,52319,10,Late,1,5,7,Cash,1,Medium,4,8,Medium,Good,0,0,0,0,0,1,0,0
56,743270,401,Own,19,Car,584064,Paid,242885,9406,20,Late,1,7,4,Credit Card,1,Medium,3,2,Medium,Poor,0,0,0,1,0,0,0,1
58,2379000,888,Rent,11,Credit Card,176138,Defaulted,432970,10625,26,Late,1,1,10,UPI,1,Medium,1,5,Medium,Good,0,1,0,0,0,0,0,0
45,1096009,611,Rent,21,Personal,305168,Paid,27796,80274,3,Late,1,9,15,UPI,1,Medium,3,6,High,Poor,0,0,0,0,0,0,0,0
24,2377026,381,Rent,6,Home,340878,Paid,375216,57634,13,Late,1,9,14,Cash,0,High,2,3,Medium,Good,0,0,0,0,0,0,0,0
26,492317,492,Rent,21,Car,668697,Paid,254368,40370,33,Late,0,1,1,Credit Card,0,Low,2,8,Low,Average,1,0,1,1,0,0,0,1
25,237525,523,Rent,26,Personal,457820,Paid,386749,135656,38,Late,1,3,13,Debit Card,0,Medium,4,3,High,Average,1,0,1,0,0,0,0,0
29,2258306,352,Own,13,Credit Card,102822,Defaulted,325196,16120,36,Late,1,3,11,UPI,1,Low,3,8,High,Poor,1,0,0,0,0,0,0,0
51,1275904,644,Own,12,Car,120209,Paid,120230,122866,25,Late,1,6,7,Debit Card,0,Low,1,4,High,Good,0,0,0,0,0,1,1,0
50,342432,384,Rent,19,Personal,208637,Paid,282249,5664,24,Late,1,4,10,Credit Card,0,High,3,3,Medium,Poor,0,0,1,1,0,0,0,1
65,316242,510,Own,7,Credit Card,180691,Paid,137933,133214,21,Late,0,4,9,Credit Card,0,High,1,1,High,Average,0,0,1,1,0,1,0,1
40,1795489,482,Rent,17,Personal,913488,Paid,136107,70041,39,On Time,0,7,7,Credit Card,1,Low,3,5,Medium,Good,0,0,0,1,0,0,0,1
41,307576,571,Own,3,Education,139132,Defaulted,417534,91231,41,Late,1,3,9,UPI,1,Medium,2,4,Medium,Poor,0,0,1,0,0,1,0,0
54,375966,805,Own,22,Education,653154,Paid,65293,80721,17,On Time,0,8,19,Cash,1,Low,4,4,Medium,Good,0,0,0,0,0,1,0,0
52,952746,526,Rent,22,Home,725512,Defaulted,91072,81160,47,Late,1,8,19,Cash,1,High,3,9,Low,Poor,0,0,0,0,0,0,0,0
61,989135,311,Own,3,Personal,588748,Paid,251733,90651,41,On Time,1,8,4,Credit Card,1,Medium,3,5,Medium,Good,0,0,0,1,0,1,0,1
57,1456335,392,Rent,1,Credit Card,206102,Defaulted,163288,44937,10,Late,0,2,14,Credit Card,1,Medium,2,2,High,Average,0,0,0,0,0,0,0,0
39,1431218,629,Own,21,Personal,687880,Paid,31371,146661,13,On Time,1,8,2,Credit Card,0,Low,3,1,Low,Average,0,0,0,0,0,1,0,1
44,2782902,489,Rent,0,Personal,283534,Defaulted,154018,125945,13,On Time,1,7,2,Cash,0,High,3,4,High,Good,0,0,0,0,0,0,0,0
52,1449331,897,Own,9,Education,876376,Paid,133580,78006,25,On Time,0,6,16,Debit Card,0,Low,1,3,High,Good,0,1,0,0,0,1,0,0
18,929128,592,Rent,33,Credit Card,501672,Paid,111992,85098,11,On Time,1,5,2,Debit Card,1,Low,1,7,Low,Average,0,0,0,0,0,0,0,0
52,739439,560,Own,30,Credit Card,562310,Paid,453965,137950,40,On Time,1,7,7,Debit Card,0,High,1,7,High,Good,0,0,0,0,0,1,0,0
54,1717658,622,Own,13,Credit Card,339347,Defaulted,341530,13811,19,On Time,1,9,8,Credit Card,0,High,1,5,Low,Good,0,0,0,1,0,0,0,1
64,1297766,309,Own,18,Personal,225652,Paid,59316,122509,9,On Time,0,8,14,Credit Card,0,Low,4,7,Low,Good,0,0,0,0,0,1,0,0
31,2767180,387,Rent,28,Home,709853,Paid,178596,130696,22,On Time,1,2,19,UPI,0,Medium,4,9,Medium,Poor,0,0,0,0,0,0,0,0
20,780483,639,Rent,29,Car,945509,Defaulted,230862,22561,2,On Time,0,3,8,Credit Card,0,Low,4,6,High,Average,0,0,0,0,0,0,1,0
18,564385,617,Own,10,Car,712603,Defaulted,263823,137586,7,On Time,0,0,4,Credit Card,0,Low,1,1,Medium,Poor,0,0,0,0,0,1,0,0
22,1091622,848,Own,29,Car,819967,Defaulted,409823,42516,2,On Time,0,1,4,Credit Card,0,High,2,3,Low,Good,0,0,0,0,0,0,0,0
43,1553770,522,Own,21,Education,436057,Paid,212316,5635,42,Late,0,9,1,Cash,1,Low,3,2,Low,Average,0,0,0,0,0,0,0,0
31,2592272,508,Own,1,Car,972779,Defaulted,3709,79209,26,Late,1,0,13,Credit Card,1,Medium,2,9,Medium,Good,0,0,0,1,0,1,1,1
56,2748316,348,Rent,24,Car,997209,Defaulted,360067,84072,12,On Time,1,5,7,Cash,1,Low,3,2,High,Poor,0,0,0,0,0,0,1,0
44,1046299,835,Rent,7,Personal,118332,Paid,71754,127852,16,Late,1,4,19,Credit Card,1,Low,1,8,Low,Good,0,0,0,1,0,0,0,1
26,1504684,562,Own,31,Credit Card,627082,Defaulted,481949,35852,16,Late,1,7,18,Credit Card,0,Medium,3,8,Medium,Average,0,0,0,1,0,0,0,1
32,511509,505,Own,6,Credit Card,941903,Paid,231986,29896,5,On Time,0,0,1,Debit Card,0,Low,3,8,Medium,Average,0,0,0,0,0,0,0,0
32,2565019,796,Own,21,Personal,812172,Defaulted,91089,24793,25,Late,1,3,3,Debit Card,1,High,4,2,Medium,Poor,0,1,0,0,0,0,0,0
43,648920,764,Rent,28,Home,803519,Paid,71961,103516,17,Late,0,0,2,Credit Card,1,Low,4,9,Medium,Good,0,0,0,1,0,0,0,1
59,1931330,319,Rent,1,Personal,288375,Paid,354537,58091,9,On Time,0,7,9,UPI,0,Medium,1,5,High,Average,0,0,0,0,0,0,0,0
30,1574840,867,Rent,14,Home,329137,Defaulted,46813,131994,6,On Time,1,3,18,Cash,1,High,1,3,Low,Average,0,0,0,0,0,0,0,0
68,2569612,407,Own,19,Credit Card,306390,Defaulted,400277,69605,11,On Time,0,2,14,Debit Card,1,Medium,3,5,Low,Good,0,0,0,0,0,1,0,0
49,2188702,439,Own,25,Education,773268,Paid,231696,57857,4,Late,0,8,3,Cash,0,High,2,4,High,Good,0,0,0,0,0,1,0,0
56,1928780,390,Own,10,Personal,392932,Paid,467036,116049,30,On Time,1,0,16,Cash,1,High,2,9,Low,Good,0,0,0,0,0,1,0,0
66,1693352,570,Rent,22,Education,633046,Paid,64059,22215,25,On Time,1,9,1,Debit Card,0,Low,4,7,Low,Good,0,0,0,0,0,0,0,0
69,1015265,628,Rent,3,Personal,301195,Paid,179671,116700,9,Late,0,6,16,Debit Card,0,Low,1,8,High,Poor,0,0,0,0,0,0,0,0
49,2555664,509,Rent,3,Car,396496,Defaulted,245134,143254,19,Late,0,4,19,Cash,1,High,3,3,Low,Average,0,0,0,0,0,0,1,0
21,2183286,872,Rent,0,Credit Card,478223,Defaulted,326684,103031,30,Late,0,6,9,Cash,1,High,3,5,Low,Average,0,1,0,0,0,0,0,0
47,1824611,754,Rent,22,Home,859376,Paid,45784,53015,6,On Time,0,7,7,Debit Card,1,Medium,3,6,Medium,Poor,0,0,0,0,0,0,0,0
54,1338613,583,Rent,23,Credit Card,723304,Defaulted,420981,101412,4,On Time,1,0,1,Debit Card,1,Low,2,9,Medium,Good,0,0,0,0,0,0,0,0
40,2153527,665,Rent,26,Credit Card,447099,Defaulted,353417,29585,4,Late,1,0,13,UPI,0,Low,3,6,Medium,Good,0,0,0,0,0,0,0,0
56,1979763,783,Rent,6,Car,668217,Paid,128149,55301,32,Late,1,9,17,UPI,0,Medium,4,1,Low,Poor,0,1,0,0,0,0,1,0
62,319271,302,Own,33,Personal,759527,Defaulted,413459,138907,35,On Time,1,3,14,Cash,1,Low,3,9,High,Poor,0,0,1,0,0,1,0,0
